name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
Snowproof 1 205/55 R16 91 H,Nokian Tyres,Snowproof 1,205/55 R16,91,H,C,B,B,70,Premium,5.4,351.989990234375,medium
Snowproof 2 205/55 R16 91 H,Nokian Tyres,Snowproof 2,205/55 R16,91,H,C,B,A,69,Premium,5.6,361.8800048828125,full
Snowproof 2 205/55 R16 91 T,Nokian Tyres,Snowproof 2,205/55 R16,91,T,C,B,A,69,Premium,5.6,364.989990234375,full
Snowproof 2 205/55 R16 94 H,Nokian Tyres,Snowproof 2,205/55 R16,94,H,B,B,A,69,Premium,5.6,435.0,full
Snowtrac 5 205/55 R16 91 H,Vredestein,Snowtrac 5,205/55 R16,91,H,C,B,A,69,Premium,5.4,455.989990234375,medium
TW401 205/55 R16 94 V,Triangle,TW401,205/55 R16,94,V,D,C,B,72,Ekonomiczna,0.0,260.5799865722656,full
Ultra Grip 8 205/55 R16 91 H,Goodyear,Ultra Grip 8,205/55 R16,91,H,C,D,B,72,Premium,5.2,634.1099853515625,full
Ultra Grip 8 205/55 R16 91 T,Goodyear,Ultra Grip 8,205/55 R16,91,T,D,D,B,71,Premium,5.2,445.1300048828125,full
Ultra Grip Performance 2 205/55 R16 91 H,Goodyear,Ultra Grip Performance 2,205/55 R16,91,H,D,C,B,72,Premium,2.3,856.4400024414062,low
Ultra Grip Performance 3 205/55 R16 91 H,Goodyear,Ultra Grip Performance 3,205/55 R16,91,H,C,B,B,70,Premium,5.5,458.0799865722656,full
Ultra Grip Performance 3 205/55 R16 91 T,Goodyear,Ultra Grip Performance 3,205/55 R16,91,T,C,B,B,70,Premium,5.5,429.989990234375,medium
Ultra Grip Performance 3 205/55 R16 94 H,Goodyear,Ultra Grip Performance 3,205/55 R16,94,H,C,B,B,70,Premium,5.5,531.989990234375,full
Ultra Grip Performance 3 205/55 R16 94 V,Goodyear,Ultra Grip Performance 3,205/55 R16,94,V,C,B,B,70,Premium,5.5,676.5900268554688,full
UltraGrip 9+ 205/55 R16 91 H,Goodyear,UltraGrip 9+,205/55 R16,91,H,C,B,B,71,Premium,5.5,514.6400146484375,full
UltraGrip 9+ 205/55 R16 91 T,Goodyear,UltraGrip 9+,205/55 R16,91,T,C,B,B,71,Premium,5.5,531.719970703125,full
UltraGrip 9+ 205/55 R16 94 H,Goodyear,UltraGrip 9+,205/55 R16,94,H,C,B,B,71,Premium,5.5,770.4299926757812,full
UltraGrip Performance Gen-1 205/55 R16 91 H,Goodyear,UltraGrip Performance Gen-1,205/55 R16,91,H,C,B,B,72,Premium,5.4,610.3300170898438,medium
UltraGrip Performance+ 205/55 R16 94 V,Goodyear,UltraGrip Performance+,205/55 R16,94,V,C,B,B,71,Premium,5.4,1205.81005859375,medium
VIAMAGGIORE 205/55 R16 91 T,Premiorri,VIAMAGGIORE,205/55 R16,91,T,D,D,B,71,Ekonomiczna,4.3,226.99000549316406,full
VIAMAGGIORE Z PLUS 205/55 R16 91 H,Premiorri,VIAMAGGIORE Z PLUS,205/55 R16,91,H,D,D,B,70,Ekonomiczna,4.3,234.99000549316406,medium
WEATHER MASTER WSC 205/55 R16 91 T,Cooper,WEATHER MASTER WSC,205/55 R16,91,T,D,C,B,72,Średnia,5.3,403.1099853515625,full
WINGUARD SPORT 205/55 R16 94 V,Roadstone,WINGUARD SPORT,205/55 R16,94,V,D,C,B,71,Ekonomiczna,5.2,436.5799865722656,full
WINGUARD Snow'G 2 205/55 R16 94 V,Roadstone,WINGUARD Snow'G 2,205/55 R16,94,V,D,C,B,70,Ekonomiczna,0.0,245.0,full
WINTECH 205/55 R16 91 H,Viking,WINTECH,205/55 R16,91,H,D,C,C,72,Premium,5.3,519.8400268554688,medium
WINTECH 205/55 R16 91 T,Viking,WINTECH,205/55 R16,91,T,D,C,B,72,Premium,5.3,729.3499755859375,full
WINTECH 205/55 R16 94 H,Viking,WINTECH,205/55 R16,94,H,D,C,C,72,Premium,5.3,704.1300048828125,medium
WINTER 205/55 R16 91 H,Orium,WINTER,205/55 R16,91,H,D,C,B,72,Ekonomiczna,0.0,302.0199890136719,full
WINTER 205/55 R16 91 H,Taurus,WINTER,205/55 R16,91,H,D,C,B,72,Ekonomiczna,4.6,336.3699951171875,full
WINTER 205/55 R16 91 T,Orium,WINTER,205/55 R16,91,T,D,C,B,72,Premium,0.0,538.3099975585938,full
WINTER 205/55 R16 91 T,Taurus,WINTER,205/55 R16,91,T,D,C,B,72,Ekonomiczna,4.6,364.8399963378906,full
WINTER 205/55 R16 91 T,Tigar,WINTER,205/55 R16,91,T,D,C,B,72,Premium,5.1,5339.2998046875,medium
WINTER 205/55 R16 94 H,Orium,WINTER,205/55 R16,94,H,D,C,B,72,Premium,0.0,575.25,full
WINTER 205/55 R16 94 H,Taurus,WINTER,205/55 R16,94,H,D,C,B,72,Ekonomiczna,4.6,389.260009765625,full
WINTER 205/55 R16 94 H,Tigar,WINTER,205/55 R16,94,H,D,C,B,72,Średnia,5.1,502.25,medium
WINTER DRIVE 205/55 R16 91 H,Ceat,WINTER DRIVE,205/55 R16,91,H,C,C,B,70,Średnia,4.8,399.5299987792969,full
WINTER IL868 205/55 R16 91 H,Ilink,WINTER IL868,205/55 R16,91,H,C,C,B,70,Ekonomiczna,0.0,197.08999633789062,full
WINTER-MAX A1 MW255 205/55 R16 91 H,Milever,WINTER-MAX A1 MW255,205/55 R16,91,H,C,C,B,72,Ekonomiczna,0.0,214.4199981689453,full
WINTERHAWKE I 205/55 R16 91 H,ZMax,WINTERHAWKE I,205/55 R16,91,H,C,D,B,69,Ekonomiczna,0.0,439.54998779296875,full
WINTERPRO2 (EVO)* 205/55 R16 91 H,Gt radial,WINTERPRO2 (EVO)*,205/55 R16,91,H,D,B,B,70,Ekonomiczna,0.0,351.7699890136719,full
WINTERPRO2 (EVO)* 205/55 R16 91 T,Gt radial,WINTERPRO2 (EVO)*,205/55 R16,91,T,D,B,B,70,Ekonomiczna,0.0,369.8599853515625,full
WR D4 205/55 R16 91 H,Nokian Tyres,WR D4,205/55 R16,91,H,C,B,A,69,Premium,5.5,350.29998779296875,full
WR Snowproof 205/55 R16 91 H,Nokian Tyres,WR Snowproof,205/55 R16,91,H,D,B,A,69,Premium,5.5,701.760009765625,medium
WR Snowproof 205/55 R16 91 T,Nokian Tyres,WR Snowproof,205/55 R16,91,T,C,B,A,69,Premium,5.5,751.5800170898438,full
Weather Master SA 2+ 205/55 R16 91 T,Cooper,Weather Master SA 2+,205/55 R16,91,T,D,B,B,71,Średnia,4.3,299.42999267578125,full
WinTech NewGen 205/55 R16 91 H,Viking,WinTech NewGen,205/55 R16,91,H,B,C,B,72,Ekonomiczna,5.5,340.95001220703125,full
WinTech NewGen 205/55 R16 91 T,Viking,WinTech NewGen,205/55 R16,91,T,B,C,B,72,Ekonomiczna,5.5,385.6000061035156,low
WinTech NewGen 205/55 R16 94 V,Viking,WinTech NewGen,205/55 R16,94,V,B,C,B,72,Ekonomiczna,5.5,340.95001220703125,medium
Winguard Snow'G WH2 205/55 R16 91 H,Nexen,Winguard Snow'G WH2,205/55 R16,91,H,D,C,B,70,Średnia,5.3,310.0,full
Winguard Snow'G WH2 205/55 R16 91 T,Nexen,Winguard Snow'G WH2,205/55 R16,91,T,D,B,B,70,Średnia,5.3,349.70001220703125,full
Winguard Snow'G WH2 205/55 R16 94 V,Nexen,Winguard Snow'G WH2,205/55 R16,94,V,D,C,B,70,Średnia,5.3,529.010009765625,full
Winguard Snow'G3 WH21 205/55 R16 91 H,Nexen,Winguard Snow'G3 WH21,205/55 R16,91,H,D,B,B,72,Średnia,5.2,289.989990234375,full
